 mdot  qb   x     z       g     n_bursts  rate       dt         energy        peak          u_rate    u_dt      u_energy      u_peak      
 0.08  0.0  0.70  0.0025  1.86  22         3.785067   6.340707  9.137420e+39  2.505909e+38  0.227256  0.380697  4.713354e+38  2.403107e+37
 0.08  0.2  0.70  0.0025  1.86  22         4.784215   5.016497  7.202588e+39  1.855602e+38  0.226515  0.237513  2.949210e+38  2.803598e+37
 0.10  0.0  0.70  0.0025  1.86  22         4.923490   4.874591  8.842236e+39  2.314240e+38  0.236530  0.234181  3.400555e+38  1.772217e+37
 0.10  0.2  0.70  0.0025  1.86  21         6.493512   3.695997  6.699582e+39  1.551396e+38  0.125215  0.071270  1.916609e+38  1.701672e+37
 0.12  0.0  0.70  0.0025  1.86  22         6.051533   3.965938  8.695994e+39  2.144291e+38  0.166704  0.109251  2.238064e+38  1.872530e+37
 0.12  0.2  0.70  0.0025  1.86  21         7.989874   3.003802  6.601279e+39  1.437990e+38  0.099555  0.037428  1.057059e+38  8.641982e+36
 0.14  0.0  0.70  0.0025  1.86  21         7.229554   3.319707  8.524797e+39  1.956574e+38  0.109918  0.050473  1.772052e+38  1.450759e+37
 0.14  0.2  0.70  0.0025  1.86  21         9.556601   2.511353  6.487903e+39  1.363787e+38  0.146813  0.038581  8.140388e+37  5.648601e+36
 0.16  0.0  0.70  0.0025  1.86  22         8.313472   2.886880  8.526021e+39  1.904848e+38  0.085055  0.029536  1.302461e+38  9.389517e+36
 0.16  0.2  0.70  0.0025  1.86  21        11.146941   2.153057  6.384961e+39  1.319223e+38  0.223795  0.043227  1.008680e+38  6.266254e+36
 0.18  0.0  0.70  0.0025  1.86  22         9.435504   2.543584  8.470566e+39  1.877592e+38  0.113083  0.030484  1.213243e+38  8.399800e+36
 0.18  0.2  0.70  0.0025  1.86  21        12.855894   1.866848  6.260816e+39  1.273391e+38  0.306496  0.044507  9.760160e+37  4.601902e+36
 0.08  0.0  0.70  0.0050  1.86  23         4.373872   5.487129  7.724227e+39  2.302712e+38  0.106457  0.133553  1.897878e+38  2.242192e+37
 0.08  0.2  0.70  0.0050  1.86  21         5.230044   4.588872  6.475299e+39  1.885347e+38  0.169030  0.148308  1.980181e+38  2.288683e+37
 0.10  0.0  0.70  0.0050  1.86  22         5.618741   4.271420  7.599545e+39  2.081493e+38  0.119189  0.090609  1.747418e+38  1.898440e+37
 0.10  0.2  0.70  0.0050  1.86  20         6.889068   3.483780  6.211183e+39  1.524788e+38  0.167291  0.084599  1.626460e+38  1.306700e+37
 0.12  0.0  0.70  0.0050  1.86  22         6.806892   3.525838  7.605529e+39  1.997604e+38  0.178266  0.092338  2.167732e+38  2.066019e+37
 0.12  0.2  0.70  0.0050  1.86  20         8.412138   2.853020  6.197040e+39  1.470268e+38  0.163744  0.055535  1.000979e+38  9.987228e+36
 0.14  0.0  0.70  0.0050  1.86  21         7.949247   3.019154  7.667424e+39  1.891500e+38  0.143360  0.054449  1.702116e+38  1.554949e+37
 0.14  0.2  0.70  0.0050  1.86  21        10.065087   2.384480  6.095369e+39  1.364848e+38  0.138648  0.032847  8.547876e+37  6.053504e+36
 0.16  0.0  0.70  0.0050  1.86  21         9.168282   2.617720  7.645205e+39  1.821302e+38  0.106933  0.030532  1.145715e+38  9.938435e+36
 0.16  0.2  0.70  0.0050  1.86  21        11.664221   2.057574  6.049291e+39  1.322855e+38  0.171388  0.030233  6.850263e+37  4.961407e+36
 0.18  0.0  0.70  0.0050  1.86  21        10.311109   2.327587  7.675687e+39  1.772463e+38  0.083074  0.018753  9.527147e+37  6.927323e+36
 0.18  0.2  0.70  0.0050  1.86  20        13.318166   1.802050  5.993388e+39  1.288928e+38  0.200365  0.027111  5.952677e+37  5.241075e+36
 0.08  0.0  0.70  0.0075  1.86  21         4.854655   4.943709  6.817218e+39  2.276924e+38  0.174288  0.177485  2.490028e+38  2.557425e+37
 0.08  0.2  0.70  0.0075  1.86  22         5.619007   4.271217  5.933151e+39  1.853889e+38  0.168297  0.127929  2.123578e+38  2.413737e+37
 0.10  0.0  0.70  0.0075  1.86  21         6.100288   3.934240  6.887702e+39  2.041249e+38  0.126240  0.081416  1.673618e+38  2.103349e+37
 0.10  0.2  0.70  0.0075  1.86  22         7.287435   3.293340  5.813786e+39  1.571504e+38  0.128608  0.058120  1.485053e+38  1.423862e+37
 0.12  0.0  0.70  0.0075  1.86  20         7.388195   3.248425  6.927191e+39  1.930174e+38  0.157193  0.069114  2.142067e+38  1.675494e+37
 0.12  0.2  0.70  0.0075  1.86  21         8.827545   2.718763  5.835737e+39  1.510786e+38  0.217408  0.066959  2.047156e+38  1.495959e+37
 0.14  0.0  0.70  0.0075  1.86  21         8.587860   2.794643  7.009384e+39  1.869281e+38  0.115681  0.037645  1.286659e+38  1.302986e+37
